"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"1","Ery:GNAS_DC:ADRB2",0,0,0,1,0,0,0,0,0,0,1,0,0
"2","Ery:GNAS_Gran:ADRB2",0,0,0,1,0,0,0,0,1,0,0,1,0
"3","Ery:GNAS_HSPC:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"4","Ery:GNAS_Mono:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"5","Ery:GNAS_NK:ADRB2",0,0,0,1,1,0,0,0,0,0,1,0,0
"6","Ery:GNAS_T:ADRB2",1,0,0,1,0,0,0,0,0,0,0,0,0
"7","B:ARPC5_DC:ADRB2",0,0,0,1,0,0,0,0,0,0,1,0,0
"8","B:ARPC5_Gran:ADRB2",0,0,0,1,0,0,0,0,1,0,0,1,0
"9","B:ARPC5_HSPC:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"10","B:ARPC5_Mono:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"11","B:ARPC5_NK:ADRB2",0,0,0,1,1,0,0,0,0,0,1,0,0
"12","B:ARPC5_T:ADRB2",1,0,0,1,0,0,0,0,0,0,0,0,0
"13","Mono:IL1B_DC:ADRB2",0,0,0,1,0,0,0,0,0,0,1,0,0
"14","Mono:IL1B_Gran:ADRB2",0,0,0,1,0,0,0,0,1,0,0,0,0
"15","Mono:IL1B_HSPC:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"16","Mono:IL1B_Mono:ADRB2",0,0,0,1,0,0,0,0,0,0,0,0,0
"17","Mono:IL1B_NK:ADRB2",0,0,0,1,0,0,0,0,0,0,1,0,0
"18","Mono:IL1B_T:ADRB2",1,0,0,1,0,0,0,0,0,0,0,0,0
"19","Ery:GNAS_B:ADCY7",1,0,0,1,0,0,0,0,0,0,0,0,0
"20","Ery:GNAS_DC:ADCY7",0,1,0,1,0,0,0,0,1,1,1,1,1
"21","Ery:GNAS_Ery:ADCY7",1,1,1,1,1,0,0,1,1,1,1,1,1
"22","Ery:GNAS_Gran:ADCY7",1,1,1,1,0,0,0,1,0,1,1,1,1
"23","Ery:GNAS_HSPC:ADCY7",1,0,0,1,0,0,0,0,0,1,1,0,1
"24","Ery:GNAS_Mono:ADCY7",1,1,1,1,0,0,0,0,0,1,1,1,0
"25","Ery:GNAS_NK:ADCY7",0,0,0,1,1,0,0,0,0,1,1,1,0
"26","Ery:GNAS_T:ADCY7",0,0,0,1,0,0,0,0,0,0,0,0,0
"27","Ery:GNAS_NK:PTGDR",0,0,0,1,1,0,0,0,0,1,1,1,1
"28","Ery:GNAS_T:PTGDR",1,0,0,1,1,0,0,0,0,1,0,0,0
"29","NK:TGFB1_HSPC:CAV1",1,0,0,0,0,0,0,0,0,0,0,0,0
"30","T:TGFB1_HSPC:CAV1",1,0,0,0,0,0,0,0,0,0,0,0,0
"31","Mono:CALR_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"32","Mono:CALR_Ery:LRP1",1,1,1,0,1,1,0,0,1,0,1,1,1
"33","Mono:CALR_Gran:LRP1",1,1,0,1,1,0,0,1,1,1,1,1,0
"34","Mono:CALR_Mono:LRP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"35","NK:CALR_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"36","NK:CALR_Ery:LRP1",1,0,1,0,1,1,0,0,1,0,1,1,1
"37","NK:CALR_Gran:LRP1",1,0,0,1,1,0,0,1,1,1,1,1,0
"38","NK:CALR_Mono:LRP1",1,0,1,1,1,1,1,1,1,1,1,1,1
"39","Gran:FCN1_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"40","Gran:FCN1_Ery:LRP1",1,1,1,0,1,1,0,0,1,0,1,1,1
"41","Gran:FCN1_Gran:LRP1",1,1,0,1,1,0,0,1,1,1,1,1,0
"42","Gran:FCN1_Mono:LRP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"43","Mono:FCN1_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"44","Mono:FCN1_Ery:LRP1",1,1,1,0,1,1,0,0,1,0,1,1,1
"45","Mono:FCN1_Gran:LRP1",1,1,0,1,1,0,0,1,1,1,1,1,0
"46","Mono:FCN1_Mono:LRP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"47","Ery:SERPINE2_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"48","Ery:SERPINE2_Ery:LRP1",0,0,1,0,1,0,0,0,1,0,1,1,1
"49","Ery:SERPINE2_Gran:LRP1",0,0,0,1,1,0,0,1,1,1,1,1,0
"50","Ery:SERPINE2_Mono:LRP1",0,0,1,1,1,0,0,1,1,1,1,1,1
"51","HSPC:SERPINE2_DC:LRP1",0,0,0,0,0,0,0,1,1,1,1,1,0
"52","HSPC:SERPINE2_Ery:LRP1",1,0,0,0,0,0,0,0,1,0,1,1,1
"53","HSPC:SERPINE2_Gran:LRP1",1,0,0,0,0,0,0,1,1,1,1,1,0
"54","HSPC:SERPINE2_Mono:LRP1",1,0,0,0,0,0,0,1,1,1,1,1,1
"55","B:CD74_Ery:MIF",1,1,1,1,1,1,0,1,1,1,1,1,1
"56","DC:CD74_Ery:MIF",1,1,1,1,0,1,0,1,1,1,1,1,1
"57","Ery:CD74_Ery:MIF",1,1,0,1,1,1,0,0,0,1,0,0,1
"58","Gran:CD74_Ery:MIF",1,1,1,1,1,1,0,1,1,1,1,1,1
"59","HSPC:CD74_Ery:MIF",1,1,1,1,1,1,0,1,1,1,1,1,1
"60","Mono:CD74_Ery:MIF",1,1,1,1,1,1,0,1,1,1,1,1,1
"61","NK:CD74_Ery:MIF",1,0,1,1,1,1,0,1,1,1,1,1,1
"62","T:CD74_Ery:MIF",1,1,1,1,1,1,0,1,1,1,1,1,1
"63","NK:TNFRSF1B_B:GRN",1,0,0,1,1,0,1,0,0,1,1,0,0
"64","NK:TNFRSF1B_DC:GRN",1,0,1,1,0,1,1,1,1,1,1,1,1
"65","NK:TNFRSF1B_Ery:GRN",1,0,1,1,1,1,0,1,1,1,1,1,1
"66","NK:TNFRSF1B_Gran:GRN",1,0,1,1,1,1,1,1,1,1,1,1,1
"67","NK:TNFRSF1B_HSPC:GRN",1,0,1,1,1,1,1,1,1,1,1,1,1
"68","NK:TNFRSF1B_Mono:GRN",1,0,1,1,1,1,1,1,1,1,1,1,1
"69","NK:TNFRSF1B_NK:GRN",1,0,0,1,0,0,1,0,0,0,0,0,0
"70","B:ARPC5_DC:LDLR",1,0,0,1,0,0,1,0,1,0,0,0,0
"71","B:ARPC5_Ery:LDLR",0,0,0,1,0,0,0,0,1,1,1,1,1
"72","B:ARPC5_Gran:LDLR",1,1,0,1,1,1,1,0,1,1,1,1,1
"73","B:ARPC5_HSPC:LDLR",1,1,0,1,0,1,0,0,1,0,0,1,1
"74","B:ARPC5_Mono:LDLR",1,1,0,1,1,0,0,0,1,0,0,0,1
"75","B:ARPC5_T:LDLR",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","B:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"77","DC:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"78","Ery:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"79","Gran:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"80","HSPC:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"81","Mono:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"82","NK:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"83","T:MIF_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"84","B:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"85","DC:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"86","Ery:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"87","Gran:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"88","HSPC:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"89","Mono:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"90","NK:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"91","T:CD74_Mono:ACKR3",1,0,0,0,0,0,0,0,0,0,0,0,0
"92","Mono:ADM_DC:CALCRL",1,0,0,0,0,0,0,1,0,0,0,0,0
"93","Mono:ADM_Gran:CALCRL",0,0,0,0,0,0,0,0,1,0,0,0,0
"94","Mono:ADM_HSPC:CALCRL",0,0,0,0,0,0,0,0,0,1,0,0,0
"95","DC:INSR_NK:ARF1",1,0,1,1,0,1,0,0,1,1,1,1,0
"96","DC:INSR_T:ARF1",1,1,1,1,0,1,0,0,1,1,1,1,0
"97","Ery:INSR_NK:ARF1",1,0,1,1,1,1,0,1,1,1,1,1,1
"98","Ery:INSR_T:ARF1",1,0,1,1,1,1,0,1,1,1,1,1,1
"99","Gran:INSR_NK:ARF1",1,0,1,1,1,1,1,1,1,1,1,1,0
"100","Gran:INSR_T:ARF1",1,1,1,1,1,1,1,1,1,1,1,1,0
"101","HSPC:INSR_NK:ARF1",1,0,1,1,0,0,1,0,1,1,1,1,1
"102","HSPC:INSR_T:ARF1",1,0,1,1,0,0,1,0,1,1,1,1,1
"103","Mono:INSR_NK:ARF1",1,0,1,1,1,0,1,0,0,1,1,0,0
"104","Mono:INSR_T:ARF1",1,0,1,1,1,0,1,0,0,1,1,0,0
"105","Mono:IL1B_DC:IL1RAP",0,0,0,1,0,1,1,0,0,0,0,0,0
"106","Mono:IL1B_Gran:IL1RAP",1,0,1,1,0,1,1,1,1,1,0,0,1
"107","Mono:IL1B_HSPC:IL1RAP",0,0,1,1,0,1,1,0,1,0,0,0,0
"108","Mono:IL1B_Mono:IL1RAP",1,0,1,1,0,1,1,1,1,1,0,0,0
"109","Mono:IL1B_DC:IL1RN",1,0,1,0,0,0,0,1,1,1,1,0,0
"110","Mono:IL1B_Gran:IL1RN",1,1,0,1,0,0,1,1,1,1,1,0,0
"111","Mono:IL1B_HSPC:IL1RN",1,0,0,0,0,0,0,0,0,0,0,0,0
"112","Mono:IL1B_Mono:IL1RN",1,1,1,1,0,1,1,1,1,1,1,0,0
"113","Mono:IL1B_DC:IL1R2",0,0,0,0,0,0,0,1,1,1,0,0,0
"114","Mono:IL1B_Gran:IL1R2",1,0,0,0,0,0,0,0,1,0,0,0,0
"115","Mono:IL1B_HSPC:IL1R2",1,0,0,0,0,0,0,0,0,0,0,0,0
"116","Mono:IL1B_Mono:IL1R2",1,0,0,0,0,0,0,0,0,0,0,0,0
"117","Mono:IL1B_B:SIGIRR",1,0,0,1,0,0,1,0,0,1,0,0,0
"118","Mono:IL1B_DC:SIGIRR",1,1,1,1,0,1,1,1,1,1,1,0,0
"119","Mono:IL1B_Ery:SIGIRR",1,1,1,0,0,1,0,1,1,1,1,0,1
"120","Mono:IL1B_Gran:SIGIRR",1,1,1,1,0,1,1,1,1,1,1,0,1
"121","Mono:IL1B_HSPC:SIGIRR",1,1,1,1,0,1,1,1,1,1,1,0,1
"122","Mono:IL1B_Mono:SIGIRR",1,1,1,1,0,1,1,1,1,1,1,0,1
"123","Mono:IL1B_NK:SIGIRR",1,0,0,1,0,1,1,1,1,1,1,0,1
"124","Mono:IL1B_T:SIGIRR",1,1,1,1,0,1,1,1,1,1,1,0,1
"125","NK:TGFB1_B:ITGB1",1,0,1,1,1,0,1,1,0,1,1,1,0
"126","NK:TGFB1_DC:ITGB1",0,0,1,1,0,1,1,1,1,1,1,1,1
"127","NK:TGFB1_Ery:ITGB1",1,0,1,1,1,1,0,1,1,1,1,1,1
"128","NK:TGFB1_Gran:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"129","NK:TGFB1_HSPC:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"130","NK:TGFB1_Mono:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"131","NK:TGFB1_NK:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"132","NK:TGFB1_T:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"133","T:TGFB1_B:ITGB1",1,1,1,1,1,0,1,1,0,1,1,1,0
"134","T:TGFB1_DC:ITGB1",0,1,1,1,0,1,1,1,1,1,1,1,1
"135","T:TGFB1_Ery:ITGB1",1,1,1,1,1,1,0,1,1,1,1,1,1
"136","T:TGFB1_Gran:ITGB1",1,1,1,1,1,1,1,1,1,1,1,1,1
"137","T:TGFB1_HSPC:ITGB1",1,1,1,1,1,1,1,1,1,1,1,1,1
"138","T:TGFB1_Mono:ITGB1",1,1,1,1,1,1,1,1,1,1,1,1,1
"139","T:TGFB1_NK:ITGB1",1,0,1,1,1,1,1,1,1,1,1,1,1
"140","T:TGFB1_T:ITGB1",1,1,1,1,1,1,1,1,1,1,1,1,1
"141","Mono:FN1_HSPC:CD44",1,0,0,0,0,1,0,0,0,0,0,0,0
"142","Mono:FN1_T:CD44",1,0,0,0,0,1,0,0,0,0,0,0,0
"143","DC:VEGFA_HSPC:CD44",1,0,1,0,0,0,1,1,1,1,0,0,0
"144","DC:VEGFA_T:CD44",1,0,1,0,0,0,1,1,1,1,0,0,0
"145","Ery:VEGFA_HSPC:CD44",1,0,1,1,1,1,0,1,0,1,1,1,1
"146","Ery:VEGFA_T:CD44",1,0,1,1,1,1,0,1,0,1,1,1,1
"147","Gran:VEGFA_HSPC:CD44",1,0,1,0,1,0,1,1,1,1,1,0,0
"148","Gran:VEGFA_T:CD44",1,0,1,0,1,0,1,1,1,1,1,0,0
"149","HSPC:VEGFA_HSPC:CD44",0,0,1,0,0,0,0,0,0,0,0,0,0
"150","HSPC:VEGFA_T:CD44",0,0,1,0,0,0,0,0,0,0,0,0,0
"151","Mono:VEGFA_HSPC:CD44",1,0,1,0,1,0,1,1,1,1,1,0,0
"152","Mono:VEGFA_T:CD44",1,0,1,0,1,0,1,1,1,1,1,0,0
"153","B:MIF_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"154","B:MIF_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"155","DC:MIF_HSPC:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"156","DC:MIF_T:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"157","Ery:MIF_B:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"158","Ery:MIF_DC:CD44",1,1,1,1,0,1,0,1,1,1,1,1,1
"159","Ery:MIF_Ery:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"160","Ery:MIF_Gran:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"161","Ery:MIF_HSPC:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"162","Ery:MIF_Mono:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"163","Ery:MIF_NK:CD44",1,0,1,1,1,1,0,1,1,1,1,1,1
"164","Ery:MIF_T:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"165","Gran:MIF_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"166","Gran:MIF_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"167","HSPC:MIF_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"168","HSPC:MIF_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"169","Mono:MIF_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"170","Mono:MIF_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"171","NK:MIF_HSPC:CD44",1,0,1,1,1,1,1,1,1,1,1,1,1
"172","NK:MIF_T:CD44",1,0,1,1,1,1,1,1,1,1,1,1,1
"173","T:MIF_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"174","T:MIF_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"175","B:LGALS9_HSPC:CD44",1,0,0,1,0,0,1,0,0,1,0,1,0
"176","B:LGALS9_T:CD44",1,0,0,1,0,0,1,0,0,1,0,1,0
"177","DC:LGALS9_HSPC:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"178","DC:LGALS9_T:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"179","Ery:LGALS9_HSPC:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"180","Ery:LGALS9_T:CD44",1,1,1,1,1,1,0,1,1,1,1,1,1
"181","Gran:LGALS9_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"182","Gran:LGALS9_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"183","HSPC:LGALS9_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"184","HSPC:LGALS9_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"185","Mono:LGALS9_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"186","Mono:LGALS9_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"187","NK:LGALS9_HSPC:CD44",1,0,1,0,1,0,0,0,0,0,0,0,0
"188","NK:LGALS9_T:CD44",1,0,1,0,1,0,0,0,0,0,0,0,0
"189","B:ADAM10_HSPC:CD44",0,0,1,1,0,0,1,1,1,1,1,1,0
"190","B:ADAM10_T:CD44",0,0,1,1,0,0,1,1,1,1,1,1,0
"191","DC:ADAM10_HSPC:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"192","DC:ADAM10_T:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"193","Ery:ADAM10_HSPC:CD44",0,0,1,1,1,1,0,1,1,1,1,1,1
"194","Ery:ADAM10_T:CD44",0,0,1,1,1,1,0,1,1,1,1,1,1
"195","Gran:ADAM10_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"196","Gran:ADAM10_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"197","HSPC:ADAM10_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"198","HSPC:ADAM10_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"199","Mono:ADAM10_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"200","Mono:ADAM10_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"201","NK:ADAM10_HSPC:CD44",0,0,1,1,1,0,1,0,1,1,1,1,1
"202","NK:ADAM10_T:CD44",0,0,1,1,1,0,1,0,1,1,1,1,1
"203","T:ADAM10_HSPC:CD44",1,0,1,1,1,0,1,0,0,1,1,1,1
"204","T:ADAM10_T:CD44",1,0,1,1,1,0,1,0,0,1,1,1,1
"205","Gran:LPL_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"206","Gran:LPL_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"207","HSPC:LPL_HSPC:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"208","HSPC:LPL_T:CD44",1,0,0,0,0,0,0,0,0,0,0,0,0
"209","B:VIM_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"210","B:VIM_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"211","DC:VIM_HSPC:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"212","DC:VIM_T:CD44",1,1,1,1,0,1,1,1,1,1,1,1,1
"213","Ery:VIM_HSPC:CD44",1,1,0,1,1,1,0,0,0,1,0,0,0
"214","Ery:VIM_T:CD44",1,1,0,1,1,1,0,0,0,1,0,0,0
"215","Gran:VIM_HSPC:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
"216","Gran:VIM_T:CD44",1,1,1,1,1,1,1,1,1,1,1,1,1
